c1,c2,c3,c4
350104102204,屿宅村,5,350104102000
350104102205,郭宅村,5,350104102000
350104102206,叶厦村,5,350104102000
350104102207,葫芦阵村,5,350104102000
350104102208,北园村,5,350104102000
350104102209,首山村,5,350104102000
350104102210,齐安村,5,350104102000
350104102211,东兴村,5,350104102000
350104102212,黎升村,5,350104102000
350104102213,跃进村,5,350104102000
350104102214,浦口村,5,350104102000
350104102215,竹榄村,5,350104102000
350104102216,新安村,5,350104102000
350104102217,半田村,5,350104102000
350104102218,中山村,5,350104102000
350104102219,中亭村,5,350104102000
350104102220,尚保村,5,350104102000
350104102221,吴山村,5,350104102000
350104102222,高湖村,5,350104102000
350104102223,吴凤村,5,350104102000
350104102224,天水村,5,350104102000
350104102225,后坂村,5,350104102000
350104102226,照屿村,5,350104102000
350104102227,洋下村,5,350104102000
350104102228,六凤村,5,350104102000
350104102229,上岐村,5,350104102000
350104102230,下岐村,5,350104102000
350104103000,建新镇,4,350104000000
350104103001,淮安社区,5,350104103000
350104103002,洪塘社区,5,350104103000
350104103003,农大社区,5,350104103000
350104103004,马榕社区,5,350104103000
350104103005,金亭社区,5,350104103000
350104103006,江滨社区,5,350104103000
350104103007,金洪社区,5,350104103000
350104103008,状元社区,5,350104103000
350104103009,嘉禾社区,5,350104103000
350104103010,梅洲社区,5,350104103000
350104103011,观江社区,5,350104103000
350104103012,金霞社区,5,350104103000
350104103013,福湾社区,5,350104103000
350104103014,浦江社区,5,350104103000
350104103015,金港社区,5,350104103000
350104103016,淮兴社区,5,350104103000
350104103017,浦溪社区,5,350104103000
350104103018,洪湾社区,5,350104103000
350104103201,洪光村,5,350104103000
350104103202,劳光村,5,350104103000
350104103205,阵坂村,5,350104103000
350104103206,楼下村,5,350104103000
350104103207,麦浦村,5,350104103000
350104103208,高宅村,5,350104103000
350104103209,冯宅村,5,350104103000
350104103210,红江村,5,350104103000
350104103211,玉兰村,5,350104103000
350104103212,东岭村,5,350104103000
350104103213,凤高村,5,350104103000
350104103214,江边村,5,350104103000
350104103215,透浦村,5,350104103000
350104103216,冠洲村,5,350104103000
350104103217,湾边村,5,350104103000
350104103218,中截村,5,350104103000
350104103219,长埕村,5,350104103000
